Month,Date,Country,Gateway,Telco,Shortcode,Keyword,Offer ID,Affiliate ID,Total Sales,ECPA,Day 1,Week 1,Month 3 (A),Month 3 (P),Month 4 (A),Month 4 (P),Month 5 (A),Month 5 (P),Month 6 (A),Month 6 (P)
2023/7,2023-07-17,oman,mondiamedia,omantel,92729,gz,875,353,110,0.981818182,0.019959715,0.151123553,1.01227827,0.95876646,1.181981911,1.110088,1.361794274,1.2580588,1.501293812,1.3529749
2023/4,2023-04-28,saudiarabia,actel,mobily,606068,98,1000036,451,41,2.5,0.004028228,0.020155136,0.104823083,0.13823235,0.129009919,0.15729271,0.133041478,0.17008075,0.141105386,0.18871891
2022/10,2022-10-28,saudiarabia,tpay,mobily,42003,ed,49,298,126,0.218253968,0.002035039,0.090550102,0.954029628,0.48325703,1.110846582,0.5463685,1.251413338,0.60009307,1.355280449,0.64579546
2022/11,2022-11-14,malaysia,dcbumobile,umobile,12668,gs,90,440,39,2.0,0.719120128,1.032582748,3.641240938,2.833234,4.464542796,3.2459776,5.013072464,3.589151,5.503707183,3.797653
2023/3,2023-03-11,malaysia,dcbumobile,umobile,12668,gs,90,297,32,2.0,0.733983301,1.231197796,2.758265158,3.00863,2.941657825,3.3577597,3.102604753,3.6275299,3.21975939,3.7620785
2023/4,2023-04-11,oman,mondiamedia,ooredoo,92023,mobf,536,104,84,0.982142857,0.158620083,0.26612925,0.767836995,0.7618474,0.847740907,0.8061642,0.867716594,0.89205,0.900627857,0.9422728
2023/8,2023-08-25,iraq,iraqcom,asiacell,2920,1,3742,75,350,0.077586207,0.0,0.021293203,0.150030521,0.17860603,0.172888528,0.20535792,0.200619278,0.23390804,0.227838493,0.24811283
2023/12,2023-12-07,egypt,mondiamedia,etisalat,7786,a4a,1265,462,937,0.096566524,0.002868274,0.004485194,0.01840555,0.021547757,0.018973784,0.022843622,0.018973784,0.02719444,0.018973784,0.026285104
2023/12,2023-12-09,kenya,nth,safaricom,72222,game,1517,104,50,0.3,0.002166396,0.003249594,0.008462305,0.0078723505,0.009591556,0.0068906248,0.009591556,0.009135731,0.009591556,0.006647691
2023/12,2023-12-04,malaysia,maxis,maxis,33187,goz,1494,206,36,1.5,0.53653825,0.53653825,2.726367861,2.8003566,2.891061881,3.007481,2.891061881,3.0434914,2.891061881,2.9872148
2022/11,2022-11-21,thailand,macrokiosk,ais,4541560,b1,85,174,145,0.195804196,0.00684887,0.017502668,0.100321496,0.07461888,0.133803791,0.08353603,0.160622444,0.09097066,0.17254807,0.10103885
2023/1,2023-01-14,saudiarabia,tpay,mobily,42003,ed,223,210,56,0.3125,0.002288209,0.132716125,0.615906626,0.66673964,0.71217787,0.7505713,0.80390252,0.792093,0.884164549,0.8644085
2023/12,2023-12-03,malaysia,maxis,maxis,32775,bab2,868,378,53,1.803921569,0.139945373,0.332370261,0.957727743,1.0782682,1.068279289,1.2307944,1.068279289,1.3649282,1.068279289,1.4578342
2023/10,2023-10-06,palestine,mondiamedia,jawwal,8897001,gz,1457,484.0,151,0.597333333,0.012485035,0.028942582,0.153310285,0.14253627,0.171226293,0.15901053,0.175982047,0.17614536,0.175982047,0.1834264
